Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
162,0,223,99,638.0,0.9076,0.06,0.05,0
163,0,223,99,580.0,0.8661,0.04,0.05,1
164,0,223,97,663.0,0.8492,0.08,0.05,1
165,0,223,96,718.0,0.8927,0.11,0.05,0
166,0,223,96,718.0,1.0,0.06,0.05,0
167,0,222,97,631.0,0.8844,0.08,0.05,0
168,0,223,102,515.5,0.6826,0.08,0.05,1
168,1,223,76,36.0,-1,0.0,0.0,0
169,0,222,100,577.0,0.8678,0.13,0.05,1
170,0,222,99,660.5,0.8688,0.05,0.05,1
171,0,222,98,644.0,0.9123,0.03,0.05,0
172,0,222,98,644.0,1.0,0.03,0.05,0
173,0,222,97,680.0,0.887,0.11,0.05,0
174,0,222,101,534.0,0.7625,0.05,0.05,1
175,0,223,101,515.5,0.893,0.11,0.05,0
176,0,223,100,563.0,0.8909,0.04,0.05,0
177,0,223,97,691.5,0.8189,0.06,0.05,1
178,0,223,97,691.5,1.0,0.03,0.05,0
179,0,222,96,603.5,0.8067,0.05,0.05,1
180,0,222,103,424.0,0.6647,0.08,0.06,1
180,2,221,70,60.5,-1,0.0,0.0,0
181,0,222,100,548.0,0.7643,0.03,0.06,1
182,0,223,99,599.5,0.9071,0.0,0.06,0
183,0,223,97,713.5,0.8403,0.04,0.06,1
184,0,223,97,713.5,1.0,0.04,0.06,0
185,0,223,95,722.5,0.8565,0.1,0.06,1
186,0,222,96,650.0,0.8698,0.05,0.06,1
187,0,223,101,542.5,0.7147,0.1,0.07,1
188,0,223,100,572.0,0.94,0.06,0.07,0
189,0,223,99,699.0,0.8231,0.04,0.07,1
190,0,223,99,699.0,1.0,0.02,0.07,0
191,0,223,99,719.0,0.9573,0.0,0.07,0
192,0,223,99,631.0,0.8814,0.0,0.07,0
193,0,223,101,578.5,0.9201,0.08,0.07,0
194,0,223,100,609.0,0.9436,0.08,0.07,0
195,0,223,100,642.0,0.9477,0.08,0.07,0
196,0,223,100,642.0,1.0,0.07,0.06,0
197,0,223,99,652.0,0.8986,0.07,0.06,0
198,0,223,99,634.5,0.9658,0.03,0.06,0
199,0,223,101,559.5,0.8673,0.05,0.06,1
