Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
95,0,146,142,423.0,0.2825,0.16,0.09,0
95,4,72,218,155.0,0.0,0.0,0.0,0
96,0,146,142,423.0,0.0,0.16,0.09,0
96,4,72,218,155.0,0.0,0.0,0.0,0
97,0,146,142,377.5,0.3888,0.13,0.09,0
97,4,72,218,155.0,0.0,0.0,0.0,0
98,0,148,139,650.0,0.333,0.19,0.09,0
98,4,72,218,155.0,0.0,0.0,0.0,0
99,0,148,147,1145.5,0.4534,0.16,0.1,0
99,4,72,218,155.0,0.0,0.0,0.0,0
100,0,148,152,1268.0,0.7422,0.21,0.1,1
101,0,145,156,1785.5,0.6876,0.21,0.11,1
102,0,145,156,1785.5,0.0,0.21,0.11,0
103,0,146,156,2002.0,0.7665,0.32,0.11,1
104,0,148,154,1820.0,0.8016,0.4,0.11,1
105,0,148,155,1807.0,0.8299,0.35,0.11,1
106,0,148,157,2160.5,0.8131,0.31,0.11,1
107,5,126,222,64.0,-1,0.0,0.0,0
107,0,150,156,2193.5,0.7548,0.33,0.09,1
108,5,126,222,64.0,0.0,0.0,0.0,0
108,0,150,156,2193.5,0.0,0.33,0.09,0
109,5,128,223,72.5,0.379,0.0,0.0,0
109,0,150,154,2334.0,0.8145,0.36,0.08,1
110,0,147,156,2933.5,0.7735,0.41,0.07,1
110,5,128,223,72.5,0.0,0.0,0.0,0
111,5,128,225,28.5,0.2182,0.0,0.0,0
111,0,148,156,2935.5,0.8073,0.34,0.06,1
112,0,147,161,3622.5,0.7652,0.45,0.07,1
112,5,128,225,28.5,0.0,0.0,0.0,0
113,6,134,228,311.5,-1,0.0,0.0,1
113,0,147,158,3446.5,0.8289,0.35,0.07,1
113,5,128,225,28.5,0.0,0.0,0.0,0
114,6,134,228,311.5,0.0,0.0,0.0,0
114,0,147,158,3446.5,0.0,0.35,0.07,0
114,5,128,225,28.5,0.0,0.0,0.0,0
115,6,127,226,123.5,0.275,0.0,0.0,0
115,0,145,158,3910.0,0.8247,0.44,0.06,1
115,5,128,225,28.5,0.0,0.0,0.0,0
116,0,145,157,4038.0,0.8967,0.28,0.05,0
116,6,127,226,123.5,0.0,0.0,0.0,0
116,5,128,225,28.5,0.0,0.0,0.0,0
117,6,122,227,261.0,0.3254,0.0,0.0,0
117,0,145,157,4119.0,0.9261,0.18,0.04,0
117,5,128,225,28.5,0.0,0.0,0.0,0
118,6,117,225,91.0,0.2326,0.0,0.0,0
118,0,142,158,4003.0,0.8765,0.12,0.04,1
118,5,128,225,28.5,0.0,0.0,0.0,0
119,0,143,156,3580.0,0.8714,0.1,0.04,1
119,6,117,225,91.0,0.0,0.0,0.0,0
119,5,128,225,28.5,0.0,0.0,0.0,0
120,0,143,156,3580.0,0.0,0.1,0.04,0
120,6,117,225,91.0,0.0,0.0,0.0,0
121,0,143,152,3598.5,0.7493,0.17,0.04,1
121,6,104,110,131.5,0.0,0.0,0.0,0
121,7,103,1,172.5,-1,0.0,0.0,0
122,8,184,122,52879.0,-1,0.0,0.0,1
122,0,143,152,3598.5,0.0,0.17,0.04,0
122,6,104,110,131.5,0.0,0.0,0.0,0
122,7,103,1,172.5,0.0,0.0,0.0,0
123,0,144,156,2999.5,0.6129,0.12,0.04,0
123,8,184,122,52879.0,0.0,0.0,0.0,0
123,6,104,110,131.5,0.0,0.0,0.0,0
123,7,103,1,172.5,0.0,0.0,0.0,0
124,0,144,156,2556.5,0.7631,0.12,0.04,1
124,8,184,122,52879.0,0.0,0.0,0.0,0
124,6,104,110,131.5,0.0,0.0,0.0,0
124,7,103,1,172.5,0.0,0.0,0.0,0
125,0,142,156,2757.5,0.7547,0.24,0.04,1
125,8,184,122,52879.0,0.0,0.0,0.0,0
125,6,104,110,131.5,0.0,0.0,0.0,0
125,7,103,1,172.5,0.0,0.0,0.0,0
126,0,142,156,2757.5,0.0,0.24,0.04,0
126,8,184,122,52879.0,0.0,0.0,0.0,0
126,6,104,110,131.5,0.0,0.0,0.0,0
126,7,103,1,172.5,0.0,0.0,0.0,0
127,6,114,196,109.5,0.0,0.0,0.0,0
127,0,139,158,3231.0,0.7577,0.34,0.04,1
127,8,184,122,52879.0,0.0,0.0,0.0,0
127,7,103,1,172.5,0.0,0.0,0.0,0
128,6,118,220,209.5,0.49,0.0,0.0,0
128,0,136,160,3398.0,0.7858,0.34,0.04,1
128,8,184,122,52879.0,0.0,0.0,0.0,0
128,7,103,1,172.5,0.0,0.0,0.0,0
129,0,129,164,2043.5,0.4982,0.49,0.05,0
129,6,118,220,209.5,0.0,0.0,0.0,0
129,8,184,122,52879.0,0.0,0.0,0.0,0
129,7,103,1,172.5,0.0,0.0,0.0,0
130,6,125,199,146.5,0.0,0.0,0.0,0
130,0,136,145,949.5,0.3153,0.34,0.07,0
130,8,184,122,52879.0,0.0,0.0,0.0,0
131,0,129,150,2234.5,0.4306,0.31,0.07,0
131,6,125,199,146.5,0.0,0.0,0.0,0
132,0,129,150,2234.5,0.0,0.31,0.07,0
132,6,125,199,146.5,0.0,0.0,0.0,0
133,6,109,190,319.5,0.1175,0.0,0.0,0
133,0,139,138,1309.0,0.4643,0.27,0.09,0
134,6,116,183,188.0,0.2295,0.0,0.0,0
134,0,149,124,349.5,0.2629,0.36,0.12,0
135,0,154,123,146.0,0.3941,0.36,0.13,0
135,6,116,183,188.0,0.0,0.0,0.0,0
136,0,155,125,229.0,0.5709,0.37,0.14,0
136,6,116,183,188.0,0.0,0.0,0.0,0
137,0,154,132,435.5,0.3925,0.26,0.15,1
137,6,116,183,188.0,0.0,0.0,0.0,0
138,0,154,132,435.5,0.0,0.26,0.15,0
138,6,116,183,188.0,0.0,0.0,0.0,0
139,0,154,137,745.0,0.5111,0.18,0.16,1
139,6,116,183,188.0,0.0,0.0,0.0,0
140,0,154,139,965.0,0.6235,0.2,0.17,1
140,6,116,183,188.0,0.0,0.0,0.0,0
141,0,155,136,675.5,0.6713,0.22,0.18,1
141,6,116,183,188.0,0.0,0.0,0.0,0
142,0,155,140,1061.5,0.5799,0.2,0.19,1
142,6,116,183,188.0,0.0,0.0,0.0,0
143,0,152,148,1895.5,0.5604,0.15,0.2,1
144,0,152,148,1895.5,0.0,0.15,0.2,0
145,0,153,150,1995.0,0.7503,0.18,0.21,1
146,0,152,151,2426.5,0.7683,0.26,0.2,1
